Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
1,121,92.54,15.9,77.67,97.7,24.2,31.4,81.82,61.98,47.93,9.92,7.44,6.61,0,0,0,0.83,2.48,14.88,7.44,0.83,16.53,4.96,4.13,2.48,0,10.74,8.26,4.96,2.48,2.48,0,0,17.36,1.65,6.61,0.83,0.83,0.83,0.83,1.65,0.83,0,7.44,6.61,0,3.31,2.48,0,0,0,0,0,6.61,4.13,2.48,0.83,0,0,0,2.48,0,0,0,0,1.65,0,0,1.65,6.61,0.83,4.13,1.65,0.83,0,2.48,0.83,0,0.83,0,0,0,0.83,0,0.83,0,0,0,1.65,0,0,0,1.65,4.13,17.36,2.48,0.83,10.74,3.31,0,1.65,3.31,6.61,0.83,0.83,0,0,0,0,0,15.7,3.31,6.61,0,0.83,1.65,3.31,0
1,187,51.57,80.94,88.02,35.38,18.7,24.6,85.56,66.84,53.48,11.23,6.42,0,5.35,0,0,0.53,4.81,15.51,8.56,1.6,11.76,7.49,6.95,9.09,1.6,13.9,6.95,2.14,6.95,6.42,0,0.53,25.67,0.53,11.23,1.07,1.07,1.6,2.67,1.07,4.81,0,2.14,1.6,0.53,1.07,0.53,0.53,0,0,0,0,12.83,3.74,1.07,0.53,0,0.53,1.07,8.56,0.53,0.53,0,0,0.53,0,0,0.53,4.28,0,2.67,1.6,0,0,1.07,0,0,0,0,0,0,0,0,1.07,0,0.53,1.07,0,0,0,0,0,4.81,14.44,1.07,3.21,10.16,0.53,0,0,6.95,12.3,1.6,1.6,0,0,0,0,0,17.65,5.35,8.56,0,0,2.14,1.6,0
1,263,65.21,37.86,91.98,4.96,21.92,23.19,90.87,70.34,56.27,16.35,11.41,5.7,2.28,0.76,0.38,1.52,4.94,17.49,7.98,1.14,14.83,6.84,4.94,4.94,1.14,15.21,5.7,3.04,4.18,2.66,0.38,1.14,22.81,0.38,10.27,2.66,0.76,1.14,1.52,0.38,3.8,0,5.7,1.9,3.8,1.52,0,1.52,0,0.76,0.38,0,10.27,3.04,0.38,0,0.38,0.38,1.52,7.22,0.38,0.38,0,0.76,0.38,0,0,0.38,6.84,1.14,1.52,1.52,2.66,0,4.56,0.76,0,0,0,0,0,3.04,0,0,0,1.14,0,0.38,0,0.38,0,0,4.94,9.89,1.14,1.52,6.84,0,0,1.14,6.84,12.55,0.38,1.14,0,0,0,0,0,14.45,4.18,5.7,0,0.38,2.66,1.52,0
1,137,34.27,7.22,86.07,41.8,27.4,21.17,89.05,67.88,57.66,13.87,7.3,5.11,0,1.46,0,0,6.57,13.87,10.22,2.19,10.95,12.41,5.84,7.3,3.65,16.79,5.84,1.46,2.92,1.46,0.73,0.73,28.47,0.73,14.6,2.19,1.46,2.92,2.92,0,5.11,0,10.22,5.84,4.38,1.46,1.46,0,0,0,0,0,9.49,5.11,0.73,1.46,0,0,0.73,4.38,0,0,0,0,0,0,0,0,2.92,0,0,2.92,0,0,1.46,0.73,0.73,0,0,0,0,0,0,0,0.73,0.73,0.73,0,0,0,0.73,0,4.38,14.6,0.73,0.73,7.3,0,5.11,0.73,6.57,4.38,5.84,1.46,0,0,0,0,0,16.79,3.65,4.38,0,0,5.84,2.92,0
1,123,82.83,86.33,80.02,99,20.5,20.33,89.43,72.36,54.47,11.38,8.13,1.63,4.88,0,0.81,0.81,3.25,14.63,9.76,0.81,16.26,7.32,5.69,5.69,0,13.01,10.57,4.88,8.13,7.32,1.63,0,17.07,0,6.5,0.81,0.81,0,0,2.44,1.63,0,9.76,8.94,0.81,4.07,4.07,0,0,0,0,0,13.01,5.69,1.63,0,0,0.81,0,7.32,0,0,0,0.81,0,0,0,0,6.5,2.44,0.81,2.44,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0.81,1.63,0,0,0.81,0,6.5,15.45,0,2.44,12.2,1.63,0,0,4.88,6.5,0.81,0.81,0,0,0,0,0,10.57,4.88,3.25,0,0,0.81,1.63,0
1,167,88.67,21.39,96.52,88.9,18.56,26.95,88.02,64.67,50.9,8.98,5.99,3.59,1.2,0,0,0.6,2.99,14.97,11.38,2.99,14.97,6.59,3.59,7.19,0.6,14.37,6.59,2.99,4.19,2.99,0.6,0.6,17.37,0,8.98,1.2,1.8,1.2,1.8,0,4.79,0,4.79,4.79,0,1.2,1.2,0,0,0,0,0,8.98,4.79,2.4,0,0,1.2,0,4.19,0,0.6,0,0,0.6,0,0,0.6,7.78,1.2,3.59,1.8,2.4,0,1.8,1.2,0,1.2,0,0,0,0,0,0,0,0.6,0,0.6,0,0,0,1.2,5.39,18.56,1.2,3.59,13.77,1.2,0,0,2.4,7.19,1.8,0,0,0,0,0,0,16.17,5.39,3.59,0,0,2.4,4.79,0
1,88,79.52,99,27.18,99,17.6,29.55,81.82,62.5,51.14,14.77,11.36,2.27,9.09,0,0,0,3.41,17.05,9.09,1.14,13.64,6.82,2.27,4.55,0,11.36,6.82,2.27,17.05,12.5,2.27,2.27,15.91,1.14,6.82,1.14,3.41,0,0,0,1.14,0,10.23,10.23,0,5.68,5.68,0,0,0,0,0,18.18,5.68,1.14,0,0,0,0,12.5,2.27,0,0,0,0,0,0,0,7.95,1.14,3.41,3.41,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0,2.27,5.68,0,1.14,4.55,0,0,0,4.55,7.95,1.14,0,0,0,0,0,0,14.77,5.68,7.95,0,0,1.14,0,0
1,150,92.74,19.67,72.01,20.23,18.75,25.33,83.33,65.33,48.67,10.67,6,3.33,0,0,0,2.67,4.67,17.33,10.67,0,15.33,4.67,2.67,5.33,0,12,9.33,3.33,2,0,1.33,0.67,17.33,0.67,11.33,4,1.33,0.67,3.33,0,4.67,0.67,6.67,3.33,3.33,2,0,2,0,0.67,0.67,0,4.67,0.67,0,0,0,0,0,4,0,0,0,0,2,0,0,2,5.33,0,2.67,1.33,1.33,0,4,1.33,0,0,0,0,0,0.67,0,0,0,0,1.33,0,0,0,0,0,3.33,11.33,0.67,0.67,8,1.33,0,0.67,1.33,5.33,2,0.67,0,0,0,0,0,13.33,5.33,7.33,0,0,0.67,0,0
1,77,67.99,10.96,83,99,15.4,29.87,81.82,63.64,46.75,12.99,7.79,6.49,0,0,0,1.3,5.19,16.88,7.79,0,12.99,5.19,5.19,7.79,0,12.99,10.39,2.6,1.3,0,1.3,0,19.48,0,7.79,1.3,1.3,1.3,0,0,2.6,0,9.09,9.09,0,5.19,5.19,0,0,0,0,0,7.79,3.9,3.9,1.3,0,0,1.3,2.6,0,0,0,0,0,0,0,0,9.09,2.6,2.6,1.3,2.6,0,1.3,1.3,0,1.3,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,2.6,11.69,0,1.3,10.39,0,0,0,2.6,9.09,1.3,1.3,0,0,0,0,0,16.88,6.49,5.19,0,0,1.3,3.9,0
1,148,53.09,74.69,77.58,93.12,21.14,25,84.46,69.59,54.73,12.84,8.11,1.35,4.05,1.35,0.68,0.68,4.73,10.81,5.41,0,16.22,8.11,8.78,7.43,0,14.86,7.43,6.08,6.76,4.05,2.7,0,22.3,0.68,12.84,2.03,0.68,2.03,4.05,0.68,4.73,0,5.41,5.41,0,2.03,2.03,0,0,0,0,0,9.46,2.7,0.68,0,0,0,0,6.76,0,0,0.68,0,0,0,0,0,7.43,2.7,2.03,0.68,2.03,0,1.35,0,0,0,0,0,0,1.35,0,0,0,0,0,1.35,0,0.68,0,0.68,4.73,13.51,0.68,2.03,10.81,0,0,0,4.05,4.05,4.73,0.68,0,0,0,0,0,13.51,4.73,5.41,0,0,2.7,0.68,0
1,75,96.85,87.57,72.01,99,18.75,26.67,86.67,68,52,6.67,5.33,0,5.33,0,0,0,1.33,21.33,13.33,1.33,14.67,5.33,4,4,0,10.67,9.33,4,9.33,5.33,4,0,18.67,1.33,5.33,1.33,0,0,0,1.33,1.33,0,12,12,0,2.67,2.67,0,0,0,0,0,9.33,2.67,1.33,0,0,0,0,5.33,0,0,0,0,0,0,0,0,4,0,1.33,1.33,1.33,0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0,4,14.67,0,0,12,1.33,0,1.33,6.67,9.33,0,0,0,0,0,0,0,13.33,5.33,4,0,0,1.33,2.67,0
1,81,66.04,20.91,61.67,8.65,16.2,23.46,79.01,70.37,55.56,12.35,7.41,3.7,0,0,0,3.7,4.94,17.28,12.35,1.23,11.11,6.17,7.41,6.17,2.47,13.58,6.17,3.7,2.47,0,1.23,1.23,25.93,0,13.58,3.7,0,1.23,3.7,1.23,2.47,0,1.23,0,1.23,0,0,0,0,0,0,0,4.94,0,0,0,0,0,0,4.94,0,0,0,0,0,0,0,0,3.7,0,0,2.47,1.23,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0,0,3.7,8.64,0,0,4.94,2.47,0,1.23,6.17,11.11,0,0,0,0,0,0,0,16.05,6.17,4.94,0,0,3.7,1.23,0
1,134,67.84,40.06,98.77,92.04,16.75,26.12,88.81,70.15,59.7,14.93,11.19,6.72,3.73,0,0,0,3.73,17.91,10.45,0.75,16.42,6.72,7.46,6.72,1.49,11.19,5.97,1.49,8.21,5.22,0.75,2.24,23.13,3.73,7.46,0.75,1.49,0,0,1.49,2.99,0,5.97,5.22,0,2.24,1.49,0,0,0,0,0,13.43,5.97,2.99,1.49,0,0,0,7.46,0,0,1.49,0,0,0,0,0,5.22,0.75,2.24,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46,15.67,1.49,1.49,11.94,0.75,0,0.75,6.72,9.7,0.75,0,0,0,0,0,0,17.16,5.22,5.97,0,0.75,2.24,2.99,0
1,188,53.44,6.28,98.59,27.25,20.89,21.81,89.89,70.74,56.38,14.36,7.98,6.38,0,1.06,0,0.53,6.38,16.49,6.38,1.06,17.02,9.04,7.98,5.85,1.6,14.89,6.91,4.26,1.06,0.53,0.53,0,26.06,1.06,11.7,2.13,0,1.06,2.13,1.6,4.79,0,4.79,2.66,2.13,3.19,1.06,2.13,0,0.53,1.06,0,6.91,2.13,1.06,0,0,0.53,0,3.19,0,0.53,0,0,0,0,0,0,6.38,0.53,0.53,3.72,1.6,0,1.6,1.06,0,0,0,0,0,0,0,1.6,0,0.53,0,0,0,1.06,0.53,0,7.98,14.36,0.53,1.6,10.11,0.53,0,1.6,6.38,3.72,5.32,2.66,0,0,0,0,0,15.96,4.79,5.85,0,0,3.72,1.6,0
1,84,56.86,27.1,48.09,99,14,27.38,86.9,70.24,53.57,13.1,7.14,4.76,0,1.19,0,1.19,5.95,17.86,9.52,1.19,10.71,9.52,5.95,4.76,1.19,16.67,7.14,5.95,5.95,3.57,1.19,1.19,25,5.95,7.14,2.38,0,0,1.19,0,3.57,0,11.9,11.9,0,3.57,2.38,0,0,0,0,0,9.52,3.57,0,2.38,0,0,0,5.95,1.19,0,0,0,0,0,0,0,7.14,0,1.19,3.57,3.57,0,2.38,0,0,0,0,0,0,2.38,0,0,0,0,0,2.38,0,2.38,0,0,4.76,7.14,0,0,3.57,1.19,0,0,3.57,11.9,0,1.19,0,0,0,0,0,23.81,7.14,8.33,0,0,1.19,7.14,0
1,136,92.25,21.02,89.39,1,17,22.06,86.76,67.65,53.68,8.09,4.41,4.41,0,0,0,0,3.68,16.18,12.5,1.47,15.44,8.09,5.15,3.68,0.74,15.44,8.09,2.21,3.68,1.47,0.74,1.47,16.18,0.74,8.09,1.47,2.94,0.74,0.74,0,0.74,0,5.15,0.74,4.41,1.47,0,1.47,0,0,0.74,0,2.94,0.74,0,0,0,0,0,2.21,0,0,0,0,0.74,0,0,0.74,5.15,0.74,2.21,2.21,0,0,3.68,0.74,0,0,0,0,0,1.47,0,1.47,0,0,0,0,0.74,0,0,0,2.94,18.38,0,1.47,14.71,0,2.21,0,2.94,5.88,2.94,0.74,0,0,0,0,0,15.44,5.88,6.62,0,0,1.47,1.47,0
