Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
1,107,75.46,4.87,67.11,94.19,17.83,25.23,86.92,66.36,53.27,12.15,11.21,10.28,0,0,0,0.93,0.93,16.82,9.35,0,13.08,8.41,4.67,3.74,0.93,14.02,6.54,4.67,6.54,2.8,2.8,0.93,20.56,2.8,5.61,0,0.93,2.8,0,1.87,0,0,5.61,5.61,0,1.87,0.93,0,0,0,0,0,8.41,5.61,1.87,0.93,0,0,1.87,1.87,0,0,0,0,1.87,0,0,1.87,8.41,0.93,4.67,2.8,0.93,0,4.67,0.93,0,0.93,0,0,0,1.87,0,1.87,0,0.93,0,0.93,0,0,0,0,3.74,12.15,0,0.93,8.41,1.87,0,0,3.74,8.41,1.87,0,0,0,0,0,0,17.76,3.74,7.48,0,1.87,0.93,3.74,0
1,283,64.5,87.12,75.42,41.03,21.77,16.61,90.81,73.85,58.66,13.43,9.54,1.41,6.71,0,0.35,0.35,3.89,16.25,9.54,1.41,15.19,9.54,4.95,5.65,2.83,18.37,4.95,3.18,7.77,7.42,0.35,0,24.73,1.41,10.95,1.77,1.77,2.12,1.77,1.06,3.89,0,3.53,2.47,1.06,1.77,1.06,0.71,0,0,0.35,0,13.43,3.18,0.35,0.35,0,0.35,1.41,10.6,0.35,0.35,0,0.71,0.35,0,0,0.35,6.71,0,2.12,3.18,1.77,0,1.06,0.35,0.35,0,0,0,0,0,0,0.71,0,0.71,0,0,0,0,0.35,0,5.65,12.72,1.41,3.18,7.77,0.35,0,0.35,6.36,9.89,2.12,0.71,0,0,0,0,0,15.55,4.59,2.47,0,0,1.77,6.71,0
1,398,37.94,58.02,70.62,5.63,15.31,15.08,92.96,76.38,62.06,18.34,15.08,7.29,3.27,0.5,1.26,2.51,3.27,16.33,9.8,1.76,11.31,10.3,5.03,7.04,1.01,19.85,5.03,4.02,5.53,4.27,0.5,0.75,22.11,1.01,7.04,1.26,1.01,1.51,0.5,0.75,2.01,0,4.77,1.51,3.27,1.51,0,1.51,0,0.5,0,0,13.07,4.02,0,0,0.5,1.51,1.51,9.55,0.75,0,0,2.01,0.25,0,0,0.25,5.03,0.75,1.01,1.51,1.76,0,4.02,1.01,0.5,0,0,0,0,2.26,0,1.51,0.25,1.51,0,0,0,0,0,0.5,4.52,8.29,0.5,1.76,5.28,0,0,1.01,6.28,14.32,0.25,1.01,0,0,0,0,0,8.29,5.03,1.51,0,1.51,0.25,0,0
1,131,35.74,5.15,96.66,20.23,14.56,17.56,90.08,70.23,57.25,9.92,6.11,5.34,0,0.76,0,0,3.82,12.21,9.16,3.05,9.92,10.69,7.63,9.92,2.29,14.5,7.63,0.76,0.76,0,0.76,0,26.72,0.76,12.21,2.29,0.76,2.29,1.53,0.76,5.34,0,7.63,3.82,3.82,3.05,2.29,0.76,0,0,0.76,0,4.58,1.53,0,0,0,0,1.53,3.05,0,0,0,0,0,0,0,0,3.82,0,0,3.82,0,0,2.29,1.53,1.53,0,0,0,0,0,0,0,0,0,0.76,0,0,0,1.53,0.76,6.87,16.79,0.76,0.76,11.45,0,3.82,0,5.34,5.34,3.82,0,1.53,0.76,0.76,0,0,12.21,6.11,1.53,0,0,0,4.58,0
1,105,67.76,88.15,19.26,99,11.67,10.48,84.76,75.24,57.14,12.38,8.57,1.9,3.81,0,0.95,1.9,3.81,19.05,13.33,0.95,10.48,8.57,7.62,5.71,0,12.38,12.38,4.76,5.71,4.76,1.9,0,14.29,0,0.95,0.95,0.95,0,0,0,0,0,10.48,9.52,0.95,1.9,1.9,0,0,0,0,0,9.52,1.9,0,0,0,0.95,0,7.62,0,0,0,0.95,0,0,0,0,10.48,3.81,1.9,3.81,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.62,9.52,0,1.9,4.76,2.86,0,0.95,4.76,6.67,0.95,0.95,0,0,0,0,0,12.38,7.62,3.81,0,0.95,0,0,0
1,171,83.89,14.81,97.18,87.97,12.21,25.15,86.55,59.06,44.44,6.43,4.09,3.51,0.58,0,0,0,2.34,10.53,8.19,3.51,12.87,8.19,4.68,4.09,1.17,14.04,6.43,3.51,3.51,2.92,0.58,0,14.62,0,5.26,0,1.17,0.58,0.58,0,2.92,0,4.68,4.68,0,1.75,1.75,0,0,0,0,0,7.02,4.68,1.75,0,0,0.58,0,1.75,0,0.58,0,0,0.58,0,0,0.58,11.7,1.75,5.26,2.34,3.51,0,2.34,1.17,0,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51,19.3,0,2.92,17.54,0,0,0,2.34,5.26,4.68,0.58,0.58,0.58,0,0,0,20.47,8.19,1.75,0,0,0.58,9.94,0
1,79,28.5,47.57,90.41,99,15.8,21.52,84.81,73.42,55.7,20.25,11.39,6.33,2.53,2.53,0,0,8.86,13.92,7.59,0,7.59,11.39,1.27,6.33,0,21.52,7.59,2.53,6.33,6.33,0,0,26.58,1.27,11.39,3.8,1.27,1.27,0,0,5.06,0,10.13,10.13,0,6.33,6.33,0,0,0,0,0,10.13,2.53,1.27,0,0,0,0,7.59,2.53,0,0,0,0,0,0,0,3.8,0,2.53,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33,10.13,0,3.8,5.06,0,0,1.27,2.53,15.19,1.27,0,0,0,0,0,0,7.59,6.33,1.27,0,0,0,0,0
1,177,57.33,56.92,72.83,64.75,25.29,16.38,87.01,75.14,57.06,13.56,10.17,3.95,0,3.39,0,2.82,3.39,16.38,10.17,1.13,11.86,7.34,7.91,7.34,0,16.38,9.6,6.21,2.82,0,2.82,0,21.47,0.56,12.43,3.95,2.82,1.69,2.26,0,3.95,0,6.21,4.52,1.69,1.69,0,1.69,0,0.56,0,0,10.17,2.82,0,0,0.56,0,1.69,7.34,0,0,0,0,1.13,0,0,1.13,5.65,0.56,2.82,1.13,1.13,0,1.69,0.56,0,0,0,0,0,0.56,0,0,0,1.13,0,0,0,0,0,0.56,6.21,10.73,0.56,0.56,8.47,1.13,0.56,0,2.26,4.52,6.21,0,0,0,0,0,0,17.51,3.39,6.21,0.56,0,1.13,6.21,0
1,62,17.22,31.06,35.88,99,8.86,24.19,87.1,70.97,54.84,3.23,1.61,1.61,0,0,0,0,1.61,9.68,9.68,0,6.45,14.52,12.9,14.52,0,17.74,11.29,1.61,0,0,0,0,20.97,0,3.23,0,0,0,0,0,1.61,0,14.52,14.52,0,6.45,6.45,0,0,0,0,0,3.23,1.61,1.61,0,0,0,0,1.61,0,0,0,0,0,0,0,0,9.68,3.23,3.23,1.61,1.61,0,1.61,1.61,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.45,11.29,0,1.61,9.68,0,0,0,1.61,11.29,3.23,1.61,0,0,0,0,0,12.9,6.45,1.61,0,4.84,0,0,0
1,110,53.35,71.57,93.25,63.17,12.22,19.09,86.36,69.09,51.82,9.09,7.27,1.82,2.73,0.91,0.91,0.91,1.82,11.82,6.36,0,12.73,4.55,10,10.91,0,10.91,10,9.09,3.64,2.73,0.91,0,17.27,2.73,5.45,0,0,0,2.73,0.91,2.73,0,4.55,3.64,0.91,0.91,0.91,0,0,0,0,0,8.18,1.82,0,0,0,0,0,6.36,0,0,0.91,0,0,0,0,0,8.18,2.73,3.64,0.91,0.91,0,1.82,0,0,0,0,0,0,1.82,0,0,0,0.91,0,0.91,0,0,0,0.91,11.82,18.18,1.82,1.82,14.55,0.91,0,0,6.36,3.64,1.82,0.91,0,0,0,0,0,15.45,8.18,2.73,0,0,0,4.55,0
1,62,98.66,92.62,69.74,99,12.4,17.74,90.32,67.74,50,4.84,4.84,0,4.84,0,0,0,0,20.97,14.52,3.23,16.13,8.06,3.23,1.61,0,12.9,12.9,4.84,6.45,4.84,1.61,0,12.9,1.61,3.23,0,1.61,0,0,1.61,0,0,12.9,12.9,0,6.45,6.45,0,0,0,0,0,8.06,0,0,0,0,0,0,6.45,0,0,0,0,0,0,0,0,8.06,0,3.23,4.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,19.35,0,1.61,17.74,1.61,0,0,1.61,8.06,1.61,0,0,0,0,0,0,11.29,8.06,3.23,0,0,0,0,0
1,95,93.24,40.06,33.61,4.13,19,14.74,81.05,71.58,57.89,8.42,5.26,3.16,0,0,0,2.11,3.16,21.05,14.74,1.05,15.79,8.42,2.11,7.37,1.05,15.79,5.26,6.32,2.11,0,2.11,0,21.05,2.11,3.16,0,0,2.11,1.05,0,0,0,3.16,0,2.11,2.11,0,1.05,0,0,1.05,0,6.32,2.11,0,0,0,0,2.11,4.21,0,0,0,0,0,0,0,0,6.32,0,1.05,3.16,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,10.53,0,2.11,6.32,1.05,0,1.05,6.32,8.42,0,1.05,0,0,0,0,0,11.58,5.26,5.26,0,0,1.05,0,0
1,148,38.91,22.35,87,99,10.57,10.81,93.92,80.41,64.19,14.86,8.78,6.76,1.35,0,0.68,0,6.08,18.24,12.16,0.68,10.81,11.49,8.78,6.08,2.03,18.24,8.78,4.05,4.73,3.38,0.68,0.68,22.97,2.03,5.41,0,1.35,0.68,0.68,0.68,2.03,0,8.11,8.11,0,4.73,4.73,0,0,0,0,0,9.46,3.38,1.35,0,0,0,1.35,6.08,0.68,0,2.7,0,0,0,0,0,6.08,0.68,3.38,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0,7.43,12.16,0,1.35,10.81,0,0,0,4.73,12.16,2.03,0.68,0.68,0,0.68,0,0,12.16,8.78,0.68,0,0,2.03,0.68,0
1,329,36.9,3.56,97.41,37.74,16.45,11.85,89.67,71.12,55.62,13.68,8.51,6.69,0,0.3,0,1.52,5.17,15.2,5.78,3.34,12.46,9.73,6.38,7.6,1.82,15.81,8.21,3.95,0.3,0,0.3,0,26.44,0.61,12.77,1.22,1.52,1.82,4.56,0.61,5.47,0,7.6,4.26,3.04,2.74,0.3,2.13,0,0,0.61,0.3,7.29,3.65,0.61,0.3,0,1.22,1.52,3.65,0,0,0,0.61,0.3,0,0,0.3,4.86,0,2.74,1.82,0,0.3,1.22,0.3,0,0,0,0,0,0,0,2.43,0.61,0.91,0,0,0.61,0,1.22,0.3,8.21,11.85,0.61,0.91,8.81,0.3,0,1.22,7.6,5.47,5.17,1.52,1.22,0.61,0,0.61,0.3,35.87,13.07,4.86,1.52,2.43,2.43,11.55,0
1,83,25.36,68.22,25.3,99,9.22,15.66,89.16,72.29,56.63,9.64,6.02,3.61,0,1.2,0,1.2,3.61,16.87,12.05,1.2,4.82,10.84,14.46,6.02,1.2,14.46,10.84,3.61,7.23,4.82,0,2.41,24.1,1.2,7.23,1.2,3.61,1.2,0,2.41,0,0,10.84,10.84,0,1.2,1.2,0,0,0,0,0,14.46,6.02,1.2,1.2,0,0,1.2,8.43,2.41,0,0,0,0,0,0,0,10.84,0,3.61,6.02,2.41,0,2.41,0,0,0,0,0,0,2.41,0,0,0,0,0,0,0,0,0,0,7.23,6.02,0,0,4.82,0,0,0,6.02,8.43,1.2,1.2,0,0,0,0,0,18.07,9.64,4.82,0,1.2,1.2,1.2,0
1,173,72.5,13.09,95.96,3.43,15.73,12.72,93.64,76.3,63.01,13.29,8.09,6.36,0,0,0,1.73,5.2,16.18,9.83,1.73,17.92,8.67,8.67,4.62,1.16,15.61,7.51,4.62,1.16,0.58,0.58,0,21.97,2.31,8.09,0.58,1.16,1.73,2.31,0,2.31,0,3.47,0.58,2.89,1.16,0,1.16,0,0,0.58,0,4.62,0.58,0,0,0,0.58,0,4.05,0,0,0,0,0,0,0,0,5.2,0.58,1.73,1.16,1.73,0,2.89,0.58,0,0,0,0,0,2.31,0,0,0.58,1.73,0,0,0.58,0,0,0,6.36,18.5,0.58,1.73,15.03,0,1.16,0,3.47,7.51,2.31,1.73,0,0,0,0,0,10.4,6.36,1.73,0,0,2.31,0,0
1,123,41.16,49.74,59.99,1.36,15.38,10.57,91.87,68.29,54.47,17.07,9.76,4.07,0.81,1.63,0.81,2.44,7.32,13.82,8.13,2.44,8.94,9.76,2.44,6.5,0.81,16.26,7.32,3.25,2.44,2.44,0,0,19.51,2.44,5.69,0,1.63,0.81,0,0,3.25,0,8.13,2.44,5.69,2.44,0,2.44,0,0,0,0,8.13,0.81,0,0,0,0,0.81,7.32,1.63,0,1.63,0,0,0,0,0,4.88,0,2.44,0,2.44,0,8.13,2.44,0.81,0,0,0,0,4.88,0,0.81,0,1.63,0,0,0,0,1.63,0,8.94,13.01,1.63,2.44,8.13,0,0,0.81,3.25,9.76,0.81,0,0,0,0,0,0,8.94,4.88,0.81,0,2.44,0,0.81,0
1,162,53.42,6.03,92.16,28.48,23.14,15.43,91.98,75.93,62.35,17.9,11.11,8.64,0,0,1.23,0.62,6.79,17.9,8.02,1.85,16.67,9.88,4.32,5.56,2.47,19.14,3.7,6.79,1.23,0,0.62,0.62,25.93,2.47,12.35,1.85,0.62,3.7,2.47,1.23,3.09,0,0.62,0.62,0,0.62,0.62,0,0,0,0,0,12.96,7.41,0,0,0,0,6.17,5.56,0,0.62,1.23,0,0.62,0,0,0.62,5.56,0,0,4.94,3.09,0,1.23,0,0,0,0,0,0,0.62,0,2.47,0.62,0.62,0,0,0,0,0.62,0.62,8.02,9.26,0,0.62,7.41,0,0.62,1.23,9.26,12.35,0,1.23,0,0,0,0,0,10.49,4.32,5.56,0,0,0.62,0,0
1,52,36.37,20.31,44.14,99,7.43,15.38,88.46,75,53.85,11.54,5.77,5.77,0,0,0,0,5.77,13.46,11.54,0,5.77,13.46,3.85,7.69,1.92,21.15,15.38,0,1.92,1.92,0,0,21.15,3.85,3.85,1.92,0,1.92,0,0,0,0,17.31,15.38,1.92,7.69,5.77,1.92,0,0,0,0,7.69,3.85,0,0,0,0,0,3.85,1.92,0,0,0,0,0,0,0,3.85,0,3.85,0,0,0,1.92,0,0,0,0,0,0,1.92,0,0,0,0,0,0,0,0,0,0,17.31,11.54,0,0,11.54,0,0,0,0,13.46,0,0,0,0,0,0,0,17.31,9.62,3.85,0,3.85,0,0,0
1,121,73.53,49.9,33.04,95.03,17.29,18.18,80.17,64.46,51.24,9.09,4.13,0.83,0.83,1.65,0,0.83,4.96,12.4,9.92,0,11.57,8.26,1.65,10.74,0,12.4,7.44,4.96,2.48,1.65,0,0.83,17.36,1.65,7.44,0.83,0,1.65,3.31,0.83,4.13,0,5.79,5.79,0,2.48,2.48,0,0,0,0,0,4.96,0.83,0,0,0,0,0,4.13,0.83,0,0,0,0,0,0,0,6.61,3.31,0.83,1.65,0.83,0,1.65,0.83,0,0.83,0,0,0,0.83,0,0.83,0,0.83,0,0.83,0,0,0,0.83,4.96,11.57,0,1.65,7.44,0,0,2.48,2.48,4.96,2.48,0,0,0,0,0,0,15.7,0.83,8.26,0,4.96,0.83,0.83,0
1,151,52.02,22.66,66.91,39.53,18.88,17.88,90.73,74.17,58.28,9.27,5.3,1.99,0,1.99,0,1.32,3.97,17.22,9.93,2.65,11.26,11.26,8.61,6.62,1.32,15.89,12.58,7.28,3.97,0.66,1.32,1.99,25.17,0.66,15.23,1.32,0,3.31,5.3,1.99,5.96,0,5.3,3.31,1.99,1.32,0,1.32,0,0,0,0,6.62,1.99,0,0,0,1.99,0,3.97,0,0,0,0,1.32,1.32,0,0,7.95,0.66,1.99,1.99,3.31,0,0.66,0.66,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0.66,6.62,11.92,0,0.66,11.26,0.66,0,0,2.65,2.65,3.97,1.32,0,0,0,0,0,17.22,4.64,4.64,0,0.66,3.31,3.97,0
1,86,73.85,53.95,91.21,74.64,14.33,12.79,94.19,69.77,54.65,11.63,9.3,2.33,3.49,3.49,0,0,2.33,13.95,10.47,2.33,12.79,12.79,1.16,1.16,4.65,20.93,6.98,0,5.81,3.49,2.33,0,25.58,3.49,12.79,2.33,1.16,3.49,0,0,5.81,0,5.81,4.65,1.16,1.16,1.16,0,0,0,0,0,10.47,2.33,0,0,0,0,1.16,8.14,0,0,0,1.16,0,0,0,0,3.49,0,1.16,2.33,0,0,1.16,1.16,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.14,19.77,0,2.33,16.28,1.16,2.33,0,0,5.81,4.65,1.16,1.16,0,1.16,0,0,24.42,16.28,6.98,1.16,0,0,0,0
1,63,98.6,16.63,90.66,99,10.5,30.16,80.95,65.08,47.62,0,0,0,0,0,0,0,0,15.87,9.52,4.76,17.46,3.17,3.17,6.35,1.59,6.35,14.29,11.11,4.76,0,3.17,1.59,11.11,0,4.76,0,0,0,1.59,0,4.76,0,9.52,9.52,0,3.17,3.17,0,0,0,0,0,3.17,1.59,1.59,0,0,1.59,0,1.59,0,0,0,1.59,0,0,0,0,9.52,6.35,1.59,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.94,20.63,1.59,3.17,14.29,0,1.59,0,3.17,4.76,0,0,0,0,0,0,0,17.46,9.52,6.35,0,0,0,1.59,0
1,115,90.67,30.38,79.24,74.5,16.43,15.65,87.83,75.65,61.74,9.57,3.48,0.87,0,2.61,0,0,6.09,18.26,13.04,1.74,20,8.7,6.96,4.35,2.61,16.52,6.96,3.48,0,0,0,0,17.39,1.74,8.7,2.61,0.87,1.74,3.48,0,4.35,0,6.96,5.22,1.74,1.74,1.74,0,0,0,0,0,5.22,1.74,0,0,0,0.87,0.87,3.48,0,0,0,0,0,0,0,0,3.48,0.87,1.74,0,0.87,0,3.48,0,0,0,0,0,0,2.61,0,0,0,0.87,0,0.87,0,0,0,0.87,7.83,13.91,0.87,0.87,13.04,0.87,0,0,2.61,0,5.22,0,0,0,0,0,0,10.43,4.35,2.61,0,1.74,1.74,0,0
1,62,77.83,83.23,79.1,44.38,7.75,24.19,80.65,64.52,45.16,4.84,1.61,0,0,1.61,0,0,3.23,9.68,4.84,1.61,14.52,8.06,8.06,3.23,1.61,12.9,16.13,6.45,1.61,0,0,1.61,20.97,3.23,4.84,1.61,1.61,0,0,0,0,0,8.06,4.84,3.23,4.84,1.61,3.23,0,0,0,0,16.13,6.45,0,0,1.61,0,1.61,8.06,0,0,0,0,0,0,0,0,6.45,0,0,6.45,1.61,0,1.61,1.61,0,0,0,0,0,0,0,0,0,0,0,1.61,1.61,0,0,0,8.06,14.52,0,0,12.9,0,0,1.61,8.06,0,6.45,3.23,1.61,1.61,0,0,0,17.74,11.29,4.84,0,0,0,1.61,0
1,66,71.44,17.46,86.68,99,11,19.7,89.39,68.18,53.03,9.09,4.55,4.55,0,0,0,0,4.55,13.64,10.61,1.52,10.61,15.15,1.52,4.55,0,18.18,12.12,4.55,7.58,3.03,4.55,0,21.21,0,4.55,1.52,0,1.52,0,0,1.52,0,10.61,10.61,0,3.03,3.03,0,0,0,0,0,6.06,3.03,1.52,0,0,1.52,0,1.52,0,0,0,0,0,0,0,0,6.06,1.52,1.52,1.52,1.52,0,1.52,0,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0,12.12,12.12,0,1.52,12.12,0,0,0,4.55,1.52,9.09,1.52,0,0,0,0,0,18.18,9.09,6.06,0,0,0,3.03,0
1,66,87.3,17.46,79.84,86.79,13.2,19.7,87.88,71.21,59.09,6.06,4.55,4.55,0,0,0,0,1.52,22.73,18.18,1.52,10.61,9.09,7.58,7.58,0,13.64,10.61,3.03,3.03,1.52,1.52,0,21.21,1.52,9.09,1.52,1.52,0,1.52,3.03,1.52,0,4.55,4.55,0,1.52,1.52,0,0,0,0,0,3.03,1.52,1.52,0,0,0,0,1.52,0,0,0,0,0,0,0,0,7.58,1.52,3.03,3.03,0,0,4.55,0,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,12.12,16.67,1.52,0,13.64,1.52,1.52,0,1.52,9.09,0,0,0,0,0,0,0,18.18,7.58,4.55,0,0,1.52,4.55,0
1,36,49.68,13.82,89.39,1,12,11.11,91.67,77.78,61.11,8.33,8.33,8.33,0,0,0,0,0,16.67,11.11,0,11.11,13.89,5.56,8.33,2.78,19.44,8.33,5.56,2.78,2.78,0,0,22.22,5.56,0,0,0,0,0,0,0,0,8.33,0,8.33,2.78,0,2.78,0,2.78,0,0,8.33,2.78,0,0,2.78,0,0,5.56,2.78,0,0,2.78,0,0,0,0,11.11,2.78,2.78,2.78,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,0,0,8.33,0,0,8.33,0,0,0,8.33,8.33,2.78,2.78,0,0,0,0,0,13.89,2.78,5.56,0,5.56,0,0,0
1,135,83.52,8.59,98.62,20.23,11.25,17.04,85.19,65.93,53.33,5.93,4.44,2.96,0,0.74,0,0.74,1.48,17.04,12.59,4.44,12.59,9.63,5.93,5.19,2.22,14.07,8.15,4.44,0.74,0.74,0,0,22.22,0.74,8.15,1.48,0.74,0,2.96,0,5.19,0,2.96,1.48,1.48,0,0,0,0,0,0,0,2.96,0.74,0.74,0,0,0,0,2.22,0,0,0,0,0,0,0,0,5.19,0.74,1.48,2.22,2.22,0,1.48,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0.74,3.7,19.26,0.74,2.96,12.59,1.48,1.48,0.74,5.19,5.19,4.44,0.74,1.48,0.74,0.74,0,0,14.81,8.89,1.48,0,0,2.22,2.22,0
1,233,86.99,9.94,84.04,53.48,21.18,18.45,83.26,65.67,54.51,14.16,10.3,7.73,0,0.86,0.86,0.86,3.86,19.31,12.45,0.43,14.16,4.29,3.86,4.72,1.29,12.45,6.44,2.15,2.58,0.43,0.86,1.29,12.02,0,7.73,2.58,1.29,0.86,1.29,0,3,0,2.15,2.15,0,0.86,0.43,0,0,0,0,0,6.44,2.15,0,0.43,0,0,0.86,4.29,0,0,0.86,1.29,0.86,0,0,0.86,5.58,1.29,3,0.43,0.43,0.43,4.72,0.86,0,0.43,0,0.43,0,3,0,0,0,0.86,0,1.29,0,0,0.43,0.43,3.86,14.16,1.72,2.58,8.15,0.86,0,0.86,1.29,1.72,4.72,0.86,0.43,0,0,0.43,0,14.59,4.29,4.29,0,0.43,3.43,2.15,0
1,215,63.26,56.71,72.38,56.53,19.55,14.88,87.91,69.3,56.28,10.23,5.58,0.93,3.26,0.93,0,0.47,4.65,14.42,6.51,1.4,15.35,10.7,1.86,7.91,3.26,15.81,7.91,6.98,4.19,3.72,0,0.47,22.79,1.86,8.84,0,1.86,0.93,2.79,0,4.65,0,5.12,3.72,1.4,0.93,0.47,0.47,0,0.47,0,0,9.3,1.86,0.47,0,0.47,0,0.47,7.44,0,0.93,0.47,0.47,0.47,0,0,0.47,7.44,0.47,3.72,0.93,2.33,0,0,0,0,0,0,0,0,0,0,0.93,0,1.4,0,0,0,0,0,0,7.91,14.88,0.93,0.93,11.63,1.86,0,0,4.19,8.84,1.86,0.93,0.93,0.93,0,0,0,15.81,8.37,1.4,0,1.4,0.93,3.72,0
1,167,85.86,9.12,44.56,88.9,20.88,14.97,86.83,73.05,57.49,6.59,3.59,1.8,0,1.2,0,0.6,2.99,20.36,14.97,1.8,11.98,11.38,4.19,3.59,3.59,15.57,8.98,7.19,1.2,0.6,0.6,0,25.75,1.8,10.78,1.2,0.6,1.8,0.6,1.2,5.99,0,7.19,5.99,1.2,2.4,2.4,0,0,0,0,0,4.79,1.8,1.8,0,0,0,0,2.99,0,0,0,0,0.6,0,0,0.6,5.39,0.6,2.4,1.2,1.2,0,1.2,0,0,0,0,0,0,0.6,0,0,0,1.8,3.59,0,0,0,0,0,6.59,9.58,0,0.6,8.38,0.6,0,0.6,1.2,13.77,0,0.6,0,0,0,0,0,10.78,4.79,1.8,0,0,1.2,2.99,0
1,175,63.53,86.99,38.92,98.2,15.91,19.43,84.57,71.43,53.71,11.43,8,0.57,6.86,0,0.57,0,3.43,14.29,10.29,0.57,10.86,6.29,4,9.71,1.71,14.29,9.14,4,8.57,8,0,0.57,22.29,1.71,8,0.57,0,1.14,1.71,0.57,4.57,0,8,7.43,0.57,2.86,2.29,0.57,0,0,0,0,13.71,4.57,1.14,1.14,0,0,1.14,9.14,0,0,0,0.57,0,0,0,0,6.29,1.71,2.86,0.57,1.14,0,2.29,1.14,0,0,0,0,0,1.14,0,0,0,0.57,0,0,0.57,0,0,0.57,5.71,8.57,0.57,1.14,5.71,1.71,0,0,5.71,9.14,1.71,0.57,0,0,0,0,0,16,6.29,8,0,0,0,1.71,0
