Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
1,225,55.7,2.36,97.42,95,28.13,16.44,90.67,71.56,58.22,17.78,11.11,9.78,0.44,0,0,0.89,6.67,15.11,8.89,0,13.78,6.67,4.89,7.11,0.89,14.22,5.78,4.89,2.67,1.78,0.89,0,23.11,1.78,12,2.67,1.78,1.33,0.89,2.22,3.56,0.44,5.78,5.78,0,1.33,1.33,0,0,0,0,0,5.33,2.67,0.44,0.44,0,0,0.44,2.22,0,0,0,0,0.89,0,0,0.89,6.67,0.44,3.11,2.22,1.33,0,3.11,0.89,0,0.44,0,0,0,1.33,0,0.44,0,0.44,0.89,0.89,0,0,0,0.89,7.56,13.78,0.89,0.89,10.22,1.78,0,0.89,3.11,8,2.22,0.44,0,0,0,0,0,20.44,4.89,5.33,0,0.89,2.22,7.11,0
1,187,97.37,25.64,69.02,44.23,17,29.41,80.75,59.36,45.99,3.74,0,0,0,0,0,0,3.74,14.44,10.7,1.07,17.11,5.88,2.14,5.88,1.07,11.23,8.02,2.67,0.53,0,0.53,0,17.65,0,8.02,1.07,0.53,1.07,0.53,0.53,3.74,0,2.67,2.14,0.53,0.53,0.53,0,0,0,0,0,6.42,4.28,0,0.53,0,0.53,0.53,2.14,0,0,0,0,0.53,0,0,0.53,7.49,0,2.14,2.67,2.67,0,0.53,0,0,0,0,0,0,0,0,1.6,0,0.53,0.53,1.07,0,0.53,0,0,2.67,13.9,1.07,3.21,8.02,1.6,0,0,5.88,6.42,2.14,1.07,0,0,0,0,0,17.11,5.88,8.02,0,0,1.07,2.14,0
1,465,41.62,50.3,83.29,5.82,17.88,18.28,89.89,72.47,57.85,17.63,12.26,5.38,3.87,0.43,1.29,1.29,5.38,16.56,7.31,1.72,13.76,7.96,6.24,6.88,1.72,17.85,5.16,3.44,6.24,4.52,0.43,1.29,21.51,0.65,10.32,1.72,0.65,1.29,1.72,0.86,4.09,0.22,6.02,2.15,3.87,1.29,0.43,0.86,0,0.22,0,0,12.26,4.09,0.43,0.43,0.43,1.08,1.51,8.6,0.43,0.22,0,1.94,0.43,0,0,0.43,3.87,1.08,0.86,1.29,0.65,0,4.09,1.08,0.22,0.22,0,0,0,2.37,0,0.43,0.22,1.51,0.22,0.22,0.22,0,0.43,0.43,6.02,10.11,0.43,1.72,7.53,0.22,0.22,0.22,5.59,8.82,1.29,0.65,0.43,0.22,0.22,0,0,17.2,4.3,5.38,0.43,0.86,3.23,3.01,0
1,148,82.85,36.18,45.99,62.77,24.67,35.14,83.11,57.43,46.62,8.78,1.35,0,0,0,0,0,7.43,14.19,7.43,1.35,14.19,8.78,3.38,4.73,0,12.84,6.76,2.7,4.73,0,3.38,2.03,20.95,0,14.19,6.08,1.35,0.68,4.73,0,3.38,0,6.76,4.73,2.03,0,0,0,0,0,0,0,8.78,6.08,1.35,0.68,0.68,0,1.35,2.7,0,0,0,0,0,0,0,0,2.03,0,0,0.68,1.35,0,0.68,0,0,0,0,0,0,0,0,0.68,0,0.68,0,1.35,0,0.68,0,0,2.7,12.84,1.35,0,6.76,1.35,2.7,0,2.03,3.38,3.38,2.7,0,0,0,0,0,8.78,4.05,4.05,0,0,0.68,0,0
1,110,96.43,76.03,25.81,76.62,12.22,33.64,80.91,53.64,42.73,4.55,2.73,0,0,0,0.91,0.91,1.82,13.64,10,0,16.36,9.09,0,5.45,0,12.73,5.45,3.64,6.36,1.82,5.45,0,16.36,0,4.55,3.64,0.91,0,0.91,0,0,0,5.45,4.55,0.91,1.82,1.82,0,0,0,0,0,11.82,5.45,0.91,0.91,0,0.91,1.82,6.36,0,0.91,0,0.91,0,0,0,0,11.82,2.73,0.91,7.27,1.82,0,0,0,0,0,0,0,0,0,0,0,0,2.73,0,0.91,0,0.91,0,0,3.64,10,0,1.82,7.27,1.82,0,0,2.73,3.64,6.36,1.82,0,0,0,0,0,15.45,8.18,3.64,0,0,0.91,2.73,0
1,182,92.24,40.06,65.59,71.92,14,36.26,84.07,55.49,39.56,2.75,0,0,0,0,0,0,2.75,13.19,9.34,3.3,12.09,7.69,1.65,6.04,1.1,13.19,8.24,4.4,2.75,1.1,1.1,0.55,14.84,0,5.49,1.1,0.55,0.55,0.55,0,2.2,0,3.3,3.3,0,1.1,1.1,0,0,0,0,0,8.79,4.95,2.2,0.55,0,0.55,0.55,3.3,0,1.1,0,0,0.55,0,0,0.55,12.09,1.65,3.85,4.4,3.3,0,2.2,1.1,0,1.1,0,0,0,0.55,0,0.55,0,0.55,0,0.55,0,0,0,0,1.65,17.03,0.55,2.2,14.29,0,0,0,1.1,2.2,7.14,0,0,0,0,0,0,20.33,7.14,3.85,0,0,0.55,8.79,0
1,174,69.67,75.83,64.15,87.26,24.86,20.11,85.63,67.24,56.32,14.37,8.62,3.45,4.02,0,0,1.15,5.75,14.94,7.47,1.72,16.09,8.05,5.75,4.6,0.57,14.37,4.6,3.45,8.05,6.9,0.57,0.57,16.67,1.15,6.32,1.15,0.57,1.15,0,2.87,1.72,0,5.17,4.6,0,3.45,2.87,0,0,0,0,0,12.07,4.02,1.15,0,0,0,1.72,8.05,0.57,0.57,0,0,0,0,0,0,4.02,0.57,1.72,0.57,1.15,0,2.3,0,0,0,0,0,0,0.57,0,0,0,0,0.57,1.72,0,0,0,0,8.05,12.64,0.57,2.87,9.2,0,1.15,0,2.87,6.9,3.45,0,0.57,0,0.57,0,0,16.67,3.45,4.02,0,0.57,2.3,6.32,0
1,229,29.71,14.89,91.72,25.9,22.9,18.78,89.52,74.67,58.08,14.41,10.04,5.68,0.87,1.75,0.44,1.31,4.37,16.59,6.11,0.87,13.1,9.61,9.17,8.3,1.31,20.96,8.73,6.55,3.06,0.87,1.31,0.87,25.33,0.87,15.72,2.62,2.62,1.75,4.8,0,5.24,0,3.93,2.18,1.75,0.87,0,0.44,0,0,0,0,7.86,3.49,0.44,0,0.44,0,2.18,4.37,0,0,0.44,0,0.87,0,0,0.87,3.06,0,1.75,0.87,0.44,0,3.93,0.87,0,0,0,0,0,1.31,0,0.44,0.44,0.87,0,0.44,0,0,0,0.87,4.37,15.28,1.75,0.44,10.48,2.18,0.44,0.87,3.49,8.3,3.49,1.31,0,0,0,0,0,15.28,4.37,3.93,0,0,4.37,2.62,0
1,75,95.14,40.06,13.33,92.7,12.5,41.33,73.33,53.33,37.33,2.67,0,0,0,0,0,0,2.67,10.67,8,0,14.67,5.33,2.67,5.33,1.33,8,13.33,2.67,4,1.33,2.67,1.33,12,0,8,1.33,0,0,2.67,0,4,0,5.33,5.33,0,2.67,2.67,0,0,0,0,0,9.33,2.67,1.33,0,0,0,0,5.33,0,1.33,0,0,0,0,0,0,8,1.33,1.33,2.67,2.67,0,1.33,1.33,0,1.33,0,0,0,0,0,0,0,0,0,2.67,0,1.33,0,0,1.33,8,0,0,6.67,1.33,0,0,0,0,5.33,0,0,0,0,0,0,14.67,8,6.67,0,0,0,0,0
1,100,88.09,34.37,75.94,34.28,14.29,39,81,55,41,6,1,0,0,0,0,1,5,14,7,0,12,9,1,4,0,13,10,6,1,1,0,0,19,0,11,1,0,0,6,0,5,0,1,1,0,0,0,0,0,0,0,0,10,5,0,0,0,0,1,4,1,1,0,0,0,0,0,0,7,1,2,3,1,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3,14,0,1,12,1,0,0,3,1,6,3,0,0,0,0,0,14,7,6,0,0,0,1,0
